Evento,id_chamado,tipo,subtipo,id_bairro,situacao,tipo_situacao,status
Carnaval,18332734,Poluição sonora,Perturbação do sossego,14,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329999,Poluição sonora,Perturbação do sossego,120,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330997,Poluição sonora,Perturbação do sossego,144,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331115,Poluição sonora,Perturbação do sossego,14,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331146,Poluição sonora,Perturbação do sossego,122,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330116,Poluição sonora,Perturbação do sossego,35,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330105,Poluição sonora,Perturbação do sossego,66,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329817,Poluição sonora,Perturbação do sossego,144,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330751,Poluição sonora,Perturbação do sossego,5,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329795,Poluição sonora,Perturbação do sossego,70,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331011,Poluição sonora,Perturbação do sossego,26,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330716,Poluição sonora,Perturbação do sossego,126,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331259,Poluição sonora,Perturbação do sossego,14,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331255,Poluição sonora,Perturbação do sossego,25,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331231,Poluição sonora,Perturbação do sossego,14,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330635,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330870,Poluição sonora,Perturbação do sossego,83,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330978,Poluição sonora,Perturbação do sossego,146,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329967,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331074,Poluição sonora,Perturbação do sossego,14,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329958,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329833,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331110,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331287,Poluição sonora,Perturbação do sossego,132,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331103,Poluição sonora,Perturbação do sossego,90,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330949,Poluição sonora,Perturbação do sossego,24,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331251,Poluição sonora,Perturbação do sossego,14,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331197,Poluição sonora,Perturbação do sossego,14,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330752,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330701,Poluição sonora,Perturbação do sossego,62,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330954,Poluição sonora,Perturbação do sossego,90,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331116,Poluição sonora,Perturbação do sossego,125,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331295,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330948,Poluição sonora,Perturbação do sossego,38,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330613,Poluição sonora,Perturbação do sossego,132,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330802,Poluição sonora,Perturbação do sossego,38,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331258,Poluição sonora,Perturbação do sossego,14,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330300,Poluição sonora,Perturbação do sossego,64,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330386,Poluição sonora,Perturbação do sossego,38,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329965,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331087,Poluição sonora,Perturbação do sossego,14,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330963,Poluição sonora,Perturbação do sossego,50,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330439,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331151,Poluição sonora,Perturbação do sossego,33,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331081,Poluição sonora,Perturbação do sossego,59,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331223,Poluição sonora,Perturbação do sossego,76,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331222,Poluição sonora,Perturbação do sossego,24,Encerrado,Não atendido,Sem possibilidade de atendimento
